fecha,codigo_indicador,indicador,formato,sistema_financiero,banca_publica,banca_privada,banca_nacional,banca_extranjera,companias_financieras
2018-03,800010100010,C1 - Apalancamiento (en veces),N,6.9,,,,,
2018-03,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,3.04,,,,,
2018-03,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.74,,,,,
2018-03,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,1.82,,,,,
2018-03,800010200110,A11 - Cartera Irregular Sector Privado (%),P,1.92,,,,,
2018-03,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,54.69,,,,,
2018-03,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,45.77,,,,,
2018-03,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,134.69,,,,,
2018-03,800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),P,3.05,,,,,
2018-03,800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),P,0.95,,,,,
2018-03,800010200210,A21 - Posici�n de Previsiones M�nimas (%),P,30.91,,,,,
2018-03,800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),P,1.29,,,,,
2018-03,800010201290,AG29 - Efectivo y Dep�sito en Bancos / Activo (%),P,15.71,,,,,
2018-03,800010300010,E1 - Absorci�n de Gastos de Ad. con Vol�men de Negocio (%),P,4.78,,,,,
2018-03,800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),P,52.6,,,,,
2018-03,800010300040,E4 - Dep�sitos por Empleado (en millones de pesos),N,24.58,,,,,
2018-03,800010300050,E5 - Financiaciones por Empleado (en millones de pesos),N,16.69,,,,,
2018-03,800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),P,23.82,,,,,
2018-03,800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),P,30.9,,,,,
2018-03,800010400080,R8 - Tasa Implicita Pr�stamos Totales (%),P,19.88,,,,,
2018-03,800010400090,R9 - Tasa Implicita Dep�sitos Totales (%),P,7.04,,,,,
2018-03,800010400170,R17 - Gastos en Personal / Gastos de Administraci�n (%),P,56.43,,,,,
2018-03,800010401010,RG1 - Retorno sobre Activos ( ROA) (%),P,2.74,,,,,
2018-03,800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),P,9.11,,,,,
2018-03,800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),P,1.06,,,,,
2018-03,800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),P,2.26,,,,,
2018-03,800010401050,RG5 - Gastos de Administraci�n / Activo  (%),P,6.76,,,,,
2018-03,800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),P,4.12,,,,,
2018-03,800010500010,L1 - Liquidez Total con Posici�n de Call (%),P,27.11,,,,,
2018-03,800010500080,L8_II - Liquidez Total (%),P,26.87,,,,,
2018-03,800010500090,L9 - Liquidez Inmediata (Ef. y dep en bcos + IRM x Pases)(%),P,26.64,,,,,
2018-04,800010100010,C1 - Apalancamiento (en veces),N,6.97,,,,,
2018-04,800010100020,C2 - P�rdida Potencial de Cartera en Situaci�n 2 a 6 (%),P,3.61,,,,,
2018-04,800010100030,C3 - P�rdida Potencial de Cartera en Situaci�n 3 a 6 (%),P,-2.66,,,,,
2018-04,800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),P,1.85,,,,,
2018-04,800010200110,A11 - Cartera Irregular Sector Privado (%),P,1.95,,,,,
2018-04,800010200120,A12 - Participaci�n Cartera Comercial Sector Privado (%),P,55.21,,,,,
2018-04,800010200130,A13 - Participaci�n Cartera Consumo Sector Privado (%),P,45.25,,,,,
2018-04,800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),P,132.5,,,,,
