codigo_entidad,entidad,ALIAS
00005,The Royal Bank of Scotland N.V.,ROYAL BANK OF SCOTLAND
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,GALICIA
00011,BANCO DE LA NACION ARGENTINA,NACIÓN
00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,BAPRO
00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,ICBC
00016,CITIBANK N.A.,CITI
00017,BANCO BBVA ARGENTINA S.A.,BBVA
00018,"MUFG BANK, LTD",MUFG
00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,BANCOR
00027,BANCO SUPERVIELLE S.A.,SUPERVIELLE
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,CIUDAD
00034,BANCO PATAGONIA S.A.,PATAGONIA
00044,BANCO HIPOTECARIO S.A.,HIPOTECARIO
00045,BANCO DE SAN JUAN S.A.,SAN JUAN
00046,BANCO DO BRASIL S.A.,BRASIL
00060,BANCO DEL TUCUMAN S.A.,TUCUMAN
00065,BANCO MUNICIPAL DE ROSARIO,ROSARIO
00072,BANCO SANTANDER ARGENTINA S.A.,SANTANDER
00083,BANCO DEL CHUBUT S.A.,CHUBUT
00086,BANCO DE SANTA CRUZ S.A.,SANTA CRUZ
00093,BANCO DE LA PAMPA SOCIEDAD DE ECONOM A MIXTA,LA PAMPA
00094,BANCO DE CORRIENTES S.A.,CORRIENTES
00097,BANCO PROVINCIA DEL NEUQU N SOCIEDAD AN NIMA,NEUQUEN
00131,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,BANK OF CHINA
00143,BRUBANK S.A.U.,BRUBANK
00147,BIBANK S.A.,BIBIBANK
00150,Banco GGAL SA,EX HSBC GALICIA
00158,OPEN BANK ARGENTINA S.A.,OPEN BANK
00165,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS A", JP MORGAN
00191,BANCO CREDICOOP COOPERATIVO LIMITADO,CREDICOOP
00198,BANCO DE VALORES S.A.,BANCO DE VALORES
00247,BANCO ROELA S.A.,ROELA
00254,BANCO MARIVA S.A.,MARIVA
00259,BANCO BMA S.A.U.,BMA MACRO
00262,"BANK OF AMERICA, NATIONAL ASSOCIATION",BANK OF AMERICA
00266,BNP PARIBAS,PARIBAS
00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,TIERRA DEL FUEGO
00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,URUGUAY
00277,BANCO SAENZ S.A.,SAENZ
00281,BANCO MERIDIAN S.A.,MERIDIAN
00285,BANCO MACRO S.A.,MACRO
00295,AMERICAN EXPRESS BANK LTD. SOCIEDAD ANONIMA,AMERICAN EXPRESS
00299,BANCO COMAFI SOCIEDAD ANONIMA,COMAFI
00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,BICE
00301,BANCO PIANO S.A.,PIANO
00303,BANCO FINANSUR S.A.,FINANSUR
00305,BANCO JULIO SOCIEDAD ANONIMA,JULIO
00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,RIOJA
00310,BANCO DEL SOL S.A.,DEL SOL
00311,NUEVO BANCO DEL CHACO S. A.,CHACO
00312,BANCO VOII S.A.,VOII
00315,BANCO DE FORMOSA S.A.,FORMOSA
00319,BANCO CMF S.A.,CMF
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,SANTIAGO DEL ESTERO
00322,BANCO INDUSTRIAL S.A.,BIND
00325,BANCO BC SOCIEDAD ANONIMA, EX DEUSTCHE COMAFI
00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,SANTA FE
00331,BANCO CETELEM ARGENTINA S.A.,CETELEM
00332,BANCO DE SERVICIOS FINANCIEROS S.A.,SERVICIOS FINANCIEROS CARREFOUR
00336,BANCO BRADESCO ARGENTINA S.A.U., BRADESCO
00338,BANCO DE SERVICIOS Y TRANSACCIONES S.A.,BST
00339,RCI BANQUE S.A., RCI RENAULT
00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,BACS
00341,BANCO MASVENTAS S.A.,MASVENTAS
00384,UALA BANK S.A.U.,UALA
00386,NUEVO BANCO DE ENTRE R OS S.A.,ENTRE RIOS
00389,BANCO COLUMBIA S.A.,COLUMBIA
00426,BANCO BICA S.A.,BICA
00431,BANCO COINAG S.A.,COINAG
00432,BANCO DE COMERCIO S.A.,BANCO DE COMERCIO
00435,BANCO SUCREDITO REGIONAL S.A.U.,SUCREDITO
00448,BANCO DINO S.A.,DINO
00515,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,BANK OF CHINA 2
44059,FORD CREDIT COMPA IA FINANCIERA S.A.,FORD
44068,METROPOLIS COMPA IA FINANCIERA S.A.,METROPOLIS
44077,COMPA IA FINANCIERA ARGENTINA S.A.,EFECTIVO SI
44088,VOLKSWAGEN FINANCIAL SERVICES COMPA IA FINANCIERA S.A.,VOLKSWAGEN
44090,IUDU COMPA  A FINANCIERA S.A.,IUDU
44092,FCA COMPA IA FINANCIERA S.A.,FIAT
44093,GPAT COMPA IA FINANCIERA S.A.U.,CHEVROLET
44094,MERCEDES-BENZ COMPA  A FINANCIERA ARGENTINA S.A.,MERCEDES-BENZ
44095,ROMBO COMPA  A FINANCIERA S.A.,RENAULT
44096,JOHN DEERE CREDIT COMPA  A FINANCIERA S.A.,JOHN DEERE
44098,PSA FINANCE ARGENTINA COMPA  A FINANCIERA S.A.,PEUGEOT
44099,TOYOTA COMPA  A FINANCIERA DE ARGENTINA S.A.,TOYOTA
44100,FINANDINO COMPA IA FINANCIERA S.A.BANCO DINO EX FINANDINO
45030,NARANJA DIGITAL COMPA  A FINANCIERA S.A.U.,NARANJA
45056,MONTEMAR COMPA IA FINANCIERA S.A.,MONTEMAR
45072,REBA COMPA IA FINANCIERA S.A.,REBA TRANSATLANTICO
65203,CR DITO REGIONAL COMPA  A FINANCIERA S.A.U.,CREDITO REGIONAL
AA000,SISTEMA FINANCIERO,TOTAL SISTEMA FINANCIERO
AA100,BANCOS,SOLO BANCOS
AA110,BANCOS P BLICOS,BANCOS PÚBLICOS
AA120,BANCOS PRIVADOS,BANCOS PRIVADOS
AA121,BANCOS LOCALES DE CAPITAL NACIONAL,LOCALES CAP NACIONAL
AA123,BANCOS LOCALES DE CAPITAL EXTRANJERO,LOCALES CAP EXTRANJERO
AA124,BANCOS SUCURSALES ENTIDADES FINANCIERAS DEL EXTERIOR,ENT FIN DEL EXTERIOR
AA200,COMPA  AS FINANCIERAS,COMPAÑÍAS FINANCIERAS TOTAL
AA210,COMPA  AS FINANCIERAS DE CAPITAL NACIONAL,COMP FIN CAP NACIONAL
AA220,COMPA  AS FINANCIERAS  DE CAPITAL EXTRANJERO,COMP FIN CAP EXTRANJERO
AA300,CAJAS DE CR DITO,CAJAS DE CRÉDITO
AA910,10 PRIMEROS BANCOS PRIVADOS,10 PRIMEROS BANCOS PRIVADOS
